"GISJOIN","Geography","Y90Total","Y90A25to44","Y90A25to59","Y00Total","Y00A25to44","Y00A25to59","Y10total","Y10A25to44","Y10A25to59","place"
"G08047345","McCoy CDP, Colorado",NA,NA,NA,NA,NA,NA,24,0,12,"47345"
"G08048060","Manassa town, Colorado",988,245,383,1042,239,400,991,217,382,"48060"
"G08048115","Mancos town, Colorado",842,223,339,1119,292,527,1336,363,617,"48115"
"G08048445","Manitou Springs city, Colorado",4535,1804,2522,4980,1576,2979,4992,1228,2703,"48445"
"G08048500","Manzanola town, Colorado",437,97,170,525,126,200,434,90,157,"48500"
"G08048555","Marble town, Colorado",64,27,37,105,29,69,131,28,67,"48555"
"G08049325","Maybell CDP, Colorado",NA,NA,NA,NA,NA,NA,72,13,32,"49325"
"G08049490","Maysville CDP, Colorado",NA,NA,NA,NA,NA,NA,135,24,61,"49490"
"G08049600","Mead town, Colorado",456,175,217,2017,721,1088,3405,928,1796,"49600"
"G08049875","Meeker town, Colorado",2098,616,938,2242,569,1062,2475,617,1166,"49875"
"G08050012","Meridian CDP, Colorado",NA,NA,NA,184,93,111,2970,1419,1861,"50012"
"G08050040","Merino town, Colorado",238,72,109,246,62,107,284,82,137,"50040"
"G08050380","Midland CDP, Colorado",NA,NA,NA,NA,NA,NA,156,37,99,"50380"
"G08050480","Milliken town, Colorado",1605,484,642,2888,934,1343,5610,1809,2788,"50480"
"G08050920","Minturn town, Colorado",1066,475,593,1068,461,637,1027,394,604,"50920"
"G08051250","Moffat town, Colorado",99,36,49,114,26,60,116,25,47,"51250"
"G08051635","Monte Vista city, Colorado",4324,1208,1747,4529,1181,1957,4444,1036,1925,"51635"
"G08051690","Montezuma town, Colorado",60,39,46,42,21,29,65,26,44,"51690"
"G08051745","Montrose city, Colorado",8854,2375,3693,12344,3179,5402,19132,4619,8126,"51745"
"G08051800","Monument town, Colorado",1020,397,541,1971,755,1060,5530,1527,2758,"51800"
"G08051975","Morgan Heights CDP, Colorado",NA,NA,NA,NA,NA,NA,266,51,119,"51975"
"G08052075","Morrison town, Colorado",465,130,178,430,87,152,428,72,165,"52075"
"G08052210","Mountain Meadows CDP, Colorado",NA,NA,NA,NA,NA,NA,274,55,132,"52210"
"G08052350","Mountain View town, Colorado",550,217,278,569,194,307,507,182,282,"52350"
"G08052550","Mountain Village town, Colorado",NA,NA,NA,978,436,623,1320,541,856,"52550"
"G08052570","Mount Crested Butte town, Colorado",264,151,193,707,341,471,801,313,496,"52570"
"G08052820","Mulford CDP, Colorado",NA,NA,NA,NA,NA,NA,174,42,86,"52820"
"G08053120","Naturita town, Colorado",434,106,208,635,173,265,546,113,263,"53120"
"G08053175","Nederland town, Colorado",1099,531,639,1394,650,910,1445,499,877,"53175"
"G08053395","New Castle town, Colorado",679,257,348,1984,771,1054,4518,1592,2436,"53395"
"G08053780","Niwot CDP, Colorado",2666,1076,1622,4160,1226,2377,4006,644,2076,"53780"
"G08053875","No Name CDP, Colorado",NA,NA,NA,NA,NA,NA,123,31,65,"53875"
"G08053945","Norrie CDP, Colorado",NA,NA,NA,NA,NA,NA,7,1,5,"53945"
"G08054330","Northglenn city, Colorado",27195,8870,13945,31575,10375,15375,35789,10671,17320,"54330"
"G08054495","North La Junta CDP, Colorado",NA,NA,NA,NA,NA,NA,512,104,212,"54495"
"G08054750","North Washington CDP, Colorado",NA,NA,NA,549,157,265,484,130,226,"54750"
"G08054880","Norwood town, Colorado",429,149,213,438,140,232,518,138,250,"54880"
"G08054935","Nucla town, Colorado",656,171,307,734,178,329,711,154,311,"54935"
"G08055045","Nunn town, Colorado",324,106,153,471,146,208,416,93,212,"55045"
"G08055155","Oak Creek town, Colorado",673,252,352,849,283,467,884,313,509,"55155"
"G08055540","Olathe town, Colorado",1263,331,484,1573,389,648,1849,471,785,"55540"
"G08055705","Olney Springs town, Colorado",340,80,125,389,101,167,345,88,157,"55705"
"G08055870","Ophir town, Colorado",69,53,56,113,74,92,159,76,97,"55870"
"G08055925","Orchard CDP, Colorado",NA,NA,NA,NA,NA,NA,90,16,42,"55925"
"G08055980","Orchard City town, Colorado",2218,448,807,2880,567,1151,3119,526,1214,"55980"
"G08056035","Orchard Mesa CDP, Colorado",5977,1999,2881,6456,1896,3185,6836,1725,3262,"56035"
"G08056145","Ordway town, Colorado",1025,253,381,1248,304,510,1080,200,435,"56145"
